College,Program/Cluster,SDG Targeted,Year,Title,Authors,Date Presented in Conference/ Published,Scopus or Non-Scopus,Publication Format,Conference/ Venue,Country,Publication Title,PUBLISHED
CAS,MATH,SDG 4,2024,Lagrange multipliers applied to constrained maximization of volume of frustum of a right circular cone,"Morfe, A.S.",Apr-24,Scopus,Proceeding,"14th International Conference on Applied Physics and Mathematics(ICAPM 2024), Taipei, Taiwan, China",China,ICAPM 2024 Proceedings- IOP Journal of Physics: Conference Series,WAITING FOR PUBLICATION
CAS,MATH,SDG 4,2024,The Integration of H5p Interactive Videos: An Empirical Examination of Effectiveness in Enhancing the Performance of Students in Differential Equations.,"Dampil, F.",Mar-24,Scopus,Proceeding,"15th International Conference on E-Education, E-Business, E-Management and E-Learning (IC4E 2024), Fukuoka, Japan",Japan,IC4E 2024 Conference Proceedings (ACM Conference Proceedings),UNDER EVALUATION
ETYCB,Business Administration,SDG 8; SDG 11,2024,Do you trust the influencer behind short-form video contents? The impact of influencer Credibility and Content Value on Consumers' Purchase Decision,"Moreno, D.E.L.",May-24,Scopus,Proceeding,"International Conference on E-Commerce, E-Business, E-Government (ICEEG 2024)/ UAE",United Arab Emirates,ACM Iternational Conference Proceedings,TO BE PRESENTED
CCIS,CS,SDG 3; SDG 9; SDG 11,2024,Application of Improved HSV Color Model for Early Gingivitis Detection using Image Processing Techniques and Machine Learning,"Ebron, J.G.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering/ Melbourne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
CCIS,CS,SDG 3; SDG 9; SDG 11,2024,Counterfeit Over-the-Counter Medication detection utilizing one-Stage Object Detection,"Ebron, J.G.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering/ Melbourne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
MITL,CPE,SDG 9,2024,Implementation of a Single Cycle Datapath for the Design of a Low-Process Contril in XCS3500E,"Lazaro, J.B. Jr.;Pabiana, M.D.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering - Melborne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
MITL,CPE,SDG 9,2024,Desing and Implementation of a 32-bit Datapath for a Reduced Instruction Set Computers (RSIC) using the DEO-nano FPGA,"Lazaro, J.B. Jr.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering - Melborne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
MITL,CPE,SDG 5; SDG 10,2024,Emergency Safety Vest (E-SaVe) for Women with Mobile Application,"Ortiz, K.J.P.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering - Melborne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
MITL,CPE,SDG 15,2024,Bird-Repelling Device for Agricultural Application using Motion Detection,"Pabiania, M.D.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering - Melborne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
MITL,EE,SDG 7; SDG 9,2024,Adaptive Maximum Power Point Tracking Algorithm in Photovoltaic Systems for Smart Grid Application,"Salvador, C.S.;Manalo, C.G.",Mar-24,Scopus,Proceeding,ICCAE2024: 16th International Conference on Computer and Automation Engineering - Melborne Australia,Australia,ACM Iternational Conference Proceedings,WAITING FOR PUBLICATION
